Rk,Season,Team,Comp,MP,W,D,L,Pts,Pts/MP,Min,Subs,LgRank,GF,GA,GD,Poss,CS,CS%,G-PK,PK,PKatt,PKm,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK
123,2018-2019,Watford,eng Premier League,38,14,8,16,50,1.32,3420,103,11,52,59,-7,46.7,7,18.4,50,1,1,0,48.2,47.5,-11,-7.8,34.8,28.5,2.8,2.5,4.2,0.11,436,0.11,0.34,148,33.9,17.3,22
124,2018-2019,Southampton,eng Premier League,38,9,12,17,39,1.03,3420,107,16,45,65,-20,43.4,7,18.4,40,4,5,1,46.9,43.4,-8.2,-9.5,29.3,27.9,-2.9,-3.4,-2.3,0.1,479,0.08,0.26,155,32.4,18.9,20
125,2018-2019,Tottenham,eng Premier League,38,23,2,13,71,1.87,3420,106,4,67,39,28,59,13,34.2,62,4,4,0,54.9,51.8,7.8,8.8,39.1,36.2,11.1,10.2,7.9,0.1,533,0.12,0.34,182,34.1,18.1,23
126,2018-2019,Crystal Palace,eng Premier League,38,14,7,17,49,1.29,3420,92,12,51,53,-2,45.2,12,31.6,38,10,11,1,47.6,39.2,-2.5,-7.4,29.5,27.1,0.4,-1.2,3.5,0.08,482,0.08,0.28,135,28,18.4,16
127,2018-2019,Bournemouth,eng Premier League,38,13,6,19,45,1.18,3420,104,14,56,70,-14,46.9,10,26.3,48,7,9,2,53.3,46.2,-3.9,-7.1,38.8,34,1.7,1.8,4.2,0.11,437,0.11,0.31,153,35,17.4,16
128,2018-2019,Cardiff City,eng Premier League,38,10,4,24,34,0.89,3420,109,18,34,69,-35,35.4,10,26.3,30,3,4,1,42.4,39.2,-19.1,-16.8,27.6,25.4,-9.4,-9.2,-7.6,0.1,413,0.07,0.27,113,27.4,17.7,13
129,2018-2019,West Ham,eng Premier League,38,15,7,16,52,1.37,3420,113,10,52,55,-3,48.6,7,18.4,46,5,5,0,47.6,43.8,-14.3,-14.2,34.1,30.9,3.4,2.2,-1.1,0.1,436,0.11,0.31,149,34.2,17.2,17
130,2018-2019,Liverpool,eng Premier League,38,30,7,1,97,2.55,3420,109,2,89,22,67,61.8,21,55.3,79,7,7,0,73.7,68.4,44.9,40.3,49.8,52.6,12.3,10.6,5.2,0.12,568,0.14,0.37,211,37.1,17,20
131,2018-2019,Wolves,eng Premier League,38,16,9,13,57,1.5,3420,110,7,47,46,1,46.8,9,23.7,42,4,4,0,52.1,49,10.1,10,39.4,30.3,-6.1,-7,-4.4,0.11,473,0.09,0.29,144,30.4,17.7,12
132,2018-2019,Burnley,eng Premier League,38,11,7,20,40,1.05,3420,86,15,45,68,-23,41.2,8,21.1,41,2,2,0,44.4,42.8,-17.7,-16.9,31.2,27.6,-1.4,-1.8,0.8,0.12,358,0.11,0.37,112,31.3,15.8,14
133,2018-2019,Leicester City,eng Premier League,38,15,7,16,52,1.37,3420,111,9,51,48,3,50.9,10,26.3,43,5,7,2,52.4,47.3,8.7,7.5,37.6,31.5,-4.4,-4.3,-3.6,0.1,508,0.08,0.25,173,34.1,18.6,19
134,2018-2019,Newcastle Utd,eng Premier League,38,12,9,17,45,1.18,3420,99,13,42,48,-6,40.4,11,28.9,40,1,3,2,39.1,36.7,-14.5,-12.4,27.4,23.4,1.9,3.3,5.6,0.09,443,0.09,0.29,136,30.7,18.8,16
135,2018-2019,Manchester City,eng Premier League,38,32,2,4,98,2.58,3420,108,1,95,23,72,67.9,20,52.6,88,3,4,1,84.3,81.3,59.6,59.5,65.5,63.6,6.7,6.7,5.5,0.12,679,0.13,0.35,252,37.1,16.9,21
136,2018-2019,Chelsea,eng Premier League,38,21,9,8,72,1.89,3420,113,3,63,39,24,62.9,16,42.1,56,5,5,0,58.6,54.6,22.2,19.9,44.9,45.9,2.4,1.4,7.1,0.09,602,0.09,0.29,192,31.9,17.8,30
137,2018-2019,Brighton,eng Premier League,38,9,9,20,36,0.95,3420,99,17,35,60,-25,42.4,7,18.4,30,5,6,1,35.3,30.7,-23.8,-20.7,24.5,23.1,-0.3,-0.7,-0.5,0.09,364,0.08,0.3,99,27.2,17.9,12
138,2018-2019,Everton,eng Premier League,38,15,9,14,54,1.42,3420,111,8,54,46,8,51.5,14,36.8,51,2,5,3,49.7,45.7,4,4,33.7,30.4,3.3,5.3,0.3,0.1,493,0.1,0.31,163,33.1,16.9,20
139,2018-2019,Huddersfield,eng Premier League,38,3,7,28,16,0.42,3420,107,20,22,76,-54,47.2,5,13.2,20,1,1,0,28.8,28,-32.2,-26.7,19.9,17.4,-7.8,-8,-6.9,0.07,400,0.05,0.17,116,29,19.1,15
140,2018-2019,Fulham,eng Premier League,38,7,5,26,26,0.68,3420,108,19,34,81,-47,48.8,5,13.2,31,2,3,1,41.3,39,-26.8,-23.7,30,26.3,-8.3,-8,-6,0.09,451,0.07,0.22,140,31,19,10
